x,y,layer1,layer2,voltage1,voltage2,current
119.164,5016.66,INNER_2,BOTTOM_LAYER,3.31318,3.31318,-0.0065398
119.164,5134.77,TOP_LAYER,INNER_1,3.31315,3.31315,-0.00128328
119.164,5134.77,INNER_1,INNER_2,3.31315,3.31315,-0.00128328
119.164,5134.77,INNER_2,BOTTOM_LAYER,3.31315,3.31315,-0.00128328
119.164,5252.88,TOP_LAYER,INNER_1,3.31312,3.31312,-0.00129681
119.164,5252.88,INNER_1,INNER_2,3.31312,3.31312,-0.00129681
119.164,5252.88,INNER_2,BOTTOM_LAYER,3.31312,3.31312,-0.00129681
119.164,5370.99,TOP_LAYER,INNER_1,3.31309,3.31309,-0.00477257
119.164,5370.99,INNER_1,INNER_2,3.31309,3.31309,-0.00477257
119.164,5370.99,INNER_2,BOTTOM_LAYER,3.31309,3.31309,-0.00477257
119.164,5489.1,TOP_LAYER,INNER_1,3.31306,3.31306,-0.0165338
119.164,5489.1,INNER_1,INNER_2,3.31306,3.31306,-0.0165338
119.164,5489.1,INNER_2,BOTTOM_LAYER,3.31306,3.31307,-0.0165338
119.164,5666.27,TOP_LAYER,INNER_1,0.0153253,0.0153255,-0.00301308
119.164,5666.27,INNER_1,INNER_2,0.0153255,0.0153258,-0.000926195
119.164,5666.27,INNER_2,BOTTOM_LAYER,0.0153258,0.0153256,0.00246722
148.692,292.253,TOP_LAYER,INNER_1,25.1254,25.1254,-0.000157946
148.692,292.253,INNER_1,INNER_2,25.1254,25.1254,-0.000157946
148.692,292.253,INNER_2,BOTTOM_LAYER,25.1254,25.1254,-0.000157946
148.692,410.363,TOP_LAYER,INNER_1,25.1264,25.1264,-7.55662e-05
148.692,410.363,INNER_1,INNER_2,25.1264,25.1264,-7.55663e-05
148.692,410.363,INNER_2,BOTTOM_LAYER,25.1264,25.1264,-7.55662e-05
148.692,528.473,TOP_LAYER,INNER_1,25.1278,25.1278,-2.81413e-05
148.692,528.473,INNER_1,INNER_2,25.1278,25.1278,-2.81413e-05
148.692,528.473,INNER_2,BOTTOM_LAYER,25.1278,25.1278,-2.81412e-05
148.692,646.583,TOP_LAYER,INNER_1,25.1295,25.1295,-8.73212e-06
148.692,646.583,INNER_1,INNER_2,25.1295,25.1295,-8.7321e-06
148.692,646.583,INNER_2,BOTTOM_LAYER,25.1295,25.1295,-8.73206e-06
148.692,764.693,TOP_LAYER,INNER_1,25.1313,25.1313,-2.20822e-06
148.692,764.693,INNER_1,INNER_2,25.1313,25.1313,-2.20824e-06
148.692,764.693,INNER_2,BOTTOM_LAYER,25.1313,25.1313,-2.20822e-06
148.692,882.804,TOP_LAYER,INNER_1,25.1332,25.1332,-4.71012e-07
148.692,882.804,INNER_1,INNER_2,25.1332,25.1332,-4.71085e-07
148.692,882.804,INNER_2,BOTTOM_LAYER,25.1332,25.1332,-4.71012e-07
148.692,1000.91,TOP_LAYER,INNER_1,25.1351,25.1351,-9.0623e-08
148.692,1000.91,INNER_1,INNER_2,25.1351,25.1351,-9.06468e-08
148.692,1000.91,INNER_2,BOTTOM_LAYER,25.1351,25.1351,-9.06862e-08
148.692,1119.02,TOP_LAYER,INNER_1,25.1371,25.1371,-1.62527e-08
148.692,1119.02,INNER_1,INNER_2,25.1371,25.1371,-1.62821e-08
148.692,1119.02,INNER_2,BOTTOM_LAYER,25.1371,25.1371,-1.62527e-08
148.692,1237.13,TOP_LAYER,INNER_1,25.1391,25.1391,-8.85361e-10
148.692,1237.13,INNER_1,INNER_2,25.1391,25.1391,-9.5709e-10
148.692,1237.13,INNER_2,BOTTOM_LAYER,25.1391,25.1391,-8.85361e-10
148.692,1355.24,TOP_LAYER,INNER_1,25.141,25.141,1.05611e-08
148.692,1355.24,INNER_1,INNER_2,25.141,25.141,1.05857e-08
148.692,1355.24,INNER_2,BOTTOM_LAYER,25.141,25.141,1.06243e-08
148.692,1473.35,TOP_LAYER,INNER_1,25.143,25.143,5.94457e-08
148.692,1473.35,INNER_1,INNER_2,25.143,25.143,5.93627e-08
148.692,1473.35,INNER_2,BOTTOM_LAYER,25.143,25.143,5.94457e-08
148.692,1591.46,TOP_LAYER,INNER_1,25.145,25.145,3.20374e-07
148.692,1591.46,INNER_1,INNER_2,25.145,25.145,3.20383e-07
148.692,1591.46,INNER_2,BOTTOM_LAYER,25.145,25.145,3.20374e-07
148.692,1709.57,TOP_LAYER,INNER_1,25.1469,25.1469,1.7262e-06
148.692,1709.57,INNER_1,INNER_2,25.1469,25.1469,1.72613e-06
148.692,1709.57,INNER_2,BOTTOM_LAYER,25.1469,25.1469,1.7262e-06
148.692,1827.69,TOP_LAYER,INNER_1,25.1488,25.1488,9.20978e-06
148.692,1827.69,INNER_1,INNER_2,25.1488,25.1488,9.2098e-06
148.692,1827.69,INNER_2,BOTTOM_LAYER,25.1488,25.1488,9.20984e-06
148.692,1945.8,TOP_LAYER,INNER_1,25.1507,25.1507,4.69404e-05
148.692,1945.8,INNER_1,INNER_2,25.1507,25.1507,4.69404e-05
148.692,1945.8,INNER_2,BOTTOM_LAYER,25.1507,25.1507,4.69404e-05
148.692,2063.91,TOP_LAYER,INNER_1,25.1524,25.1524,0.000284271
148.692,2063.91,INNER_1,INNER_2,25.1524,25.1524,0.000284271
148.692,2063.91,INNER_2,BOTTOM_LAYER,25.1524,25.1524,0.000284271
148.692,2182.02,TOP_LAYER,INNER_1,25.1539,25.1539,0.00132804
148.692,2182.02,INNER_1,INNER_2,25.1539,25.1539,0.00132804
148.692,2182.02,INNER_2,BOTTOM_LAYER,25.1539,25.1539,0.00132804
148.692,2300.13,TOP_LAYER,INNER_1,25.1552,25.1552,0.00471673
148.692,2300.13,INNER_1,INNER_2,25.1552,25.1551,0.00471673
148.692,2300.13,INNER_2,BOTTOM_LAYER,25.1551,25.1551,0.00471673
148.692,2418.24,TOP_LAYER,INNER_1,25.1561,25.1561,0.0104799
148.692,2418.24,INNER_1,INNER_2,25.1561,25.1561,0.0104799
148.692,2418.24,INNER_2,BOTTOM_LAYER,25.1561,25.1561,0.0104799
148.692,2536.35,TOP_LAYER,INNER_1,25.1566,25.1566,0.0126574
148.692,2536.35,INNER_1,INNER_2,25.1566,25.1566,0.0126574
148.692,2536.35,INNER_2,BOTTOM_LAYER,25.1566,25.1566,0.0126574
148.692,2654.46,TOP_LAYER,INNER_1,25.1568,25.1568,0.0125398
148.692,2654.46,INNER_1,INNER_2,25.1568,25.1568,0.0125398
148.692,2654.46,INNER_2,BOTTOM_LAYER,25.1568,25.1568,0.0125398
148.692,2772.57,TOP_LAYER,INNER_1,0.0164077,0.0164071,0.0103323
148.692,2772.57,INNER_1,INNER_2,0.0164071,0.016405,0.00702497
148.692,2772.57,INNER_2,BOTTOM_LAYER,0.016405,0.0164054,-0.00777368
